SALEPRICE,CONSTYR,LOTSQFT,CALC_ACRES,LANDVAL1,IMPVAL,ZIPCODE,SALEDATE,SALETYPE
702000,2026,2465,0.16524,64750,0,891480000,20260501,U
680000,2025,3021,0.144968,51450,0,891430000,20260501,R
680000,2023,1786,0.040742,65100,140493,891380000,20260501,R
825000,2023,2004,0.161301,52500,157987,891660000,20260501,R
702380,2026,1627,0.120459,47250,0,891660000,20260501,R
698800,2026,1656,0.108413,42525,0,852580000,20260501,U
950000,2024,2148,0.14561599,91700,176690,891440000,20260501,R
525000,2024,2261,0.084418,39200,138399,891660000,20260501,R
611779,2026,2260,0.092906,57750,0,891440000,20260501,U
2213841,2026,3053,0.294696,112000,0,891380000,20260501,R
2247817,2026,3202,0.277677,112000,0,891380000,20260501,R
905044,2026,3931,0.42149401,94500,0,891490000,20260501,R
918990,2026,4287,0.42117801,94500,0,891490000,20260501,R
680000,2025,2642,0.177898,68250,0,891430000,20260501,R
778200,2026,3355,0.15351599,68250,0,891430000,20260501,R
882300,2026,3761,0.25558001,68250,0,891180000,20260501,U
556150,2026,1831,0.063354,60200,0,891380000,20260501,R
815000,2025,2345,0.266743,76300,192271,891290000,20260501,R
585000,2025,2588,0.088127,50050,149891,891290000,20260501,R
570000,2026,2402,0.094499,50050,0,891180000,20260501,R
868400,2025,3330,0.10842,89250,231676,891180000,20260501,U
280000,2004,1660,0,30450,66667,902780000,20260501,T
705000,1998,3732,0,41580,117283,890520000,20260501,U
441671,2026,2460,0.074732,33250,0,891660000,20260501,R
1526500,2025,3213,0.204485,157500,0,891380000,20260501,R
559820,2026,1745,0.110709,36750,0,891660000,20260501,R
518995,2026,1684,0.116821,36750,0,891180000,20260501,U
442750,2025,2469,0.084018,26250,0,891210000,20260501,R
425000,2025,2469,0.072313,26250,0,891210000,20260501,R
485162,2026,2080,0.074732,33250,0,891660000,20260501,R
384632,2025,2079,0.051423,26250,0,891210000,20260501,R
340650,2026,1572,0.051422,26250,0,891210000,20260501,R
348000,2007,1352,0,29050,66059,891490000,20260401,R
292000,2009,1205,0,25900,56694,891490000,20260401,R
305000,2008,1205,0,25900,52285,891490000,20260401,R
355000,2009,1517,0,25900,70477,891490000,20260401,R
320000,2006,1205,0,25900,51711,891490000,20260401,R
365000,2004,1612,0,26950,66539,891290000,20260401,R
325250,2007,1300,0,25900,56740,760010000,20260401,R
365000,2007,1977,0,29050,82017,303390000,20260401,R
525000,2006,1694,0,51800,73406,926020000,20260401,R
355000,2003,1380,0,28350,54308,891290000,20260401,R
340000,2006,1300,0,25900,54440,891490000,20260401,R
392000,2016,1656,0,29750,97400,891660000,20260401,R
323000,1996,1347,0,31500,42537,891080000,20260401,F
360000,2005,1560,0,28000,72210,891490000,20260401,R
295000,2004,1144,0,23450,43893,891150000,20260401,R
370000,2006,1542,0,28700,67360,891490000,20260401,R
391000,1998,1403,0,31850,47666,891290000,20260401,R
400000,2015,1656,0,29750,93657,891660000,20260401,R
383500,2004,1590,0,26600,65543,303390000,20260401,R
385000,2009,1827,0,29050,86068,303390000,20260401,R
360000,2004,1528,0,26600,65625,891410000,20260401,R
405000,2000,1779,0,31850,60896,891298150,20260401,R
365000,1993,1281,0,31850,40208,891290000,20260401,R
429100,2010,1746,0,32200,84073,891310000,20260401,R
450000,2006,2283,0,32900,93400,891290000,20260401,R
380000,2004,1398,0,32200,59530,891290000,20260401,R
415000,2013,1632,0,30450,82273,891660000,20260401,R
388000,2015,1871,0,25900,98120,891490000,20260401,R
440000,2013,2195,0,32900,108944,891290000,20260401,R
515000,2008,2535,0,57050,108493,891450000,20260401,R
348000,2004,1412,0,26950,60768,891290000,20260401,R
430000,2015,2006,0,32200,97664,891310000,20260401,R
280840,2006,1543,0,33600,64184,852610000,20260401,A
230000,2008,1919,0,28700,83117,891130000,20260401,R
365000,2007,1439,0,28350,65196,891310000,20260401,R
315000,1979,1098,0,24850,19100,891080000,20260401,R
310000,2000,1779,0,31850,62904,210300000,20260401,R
565000,2012,1470,0,58450,80251,891350000,20260401,R
370000,2004,1101,0,30100,57099,891480000,20260401,R
395000,2004,1715,0,30100,73703,891490000,20260401,R
350000,2006,1542,0,28700,67822,891490000,20260401,R
389000,2005,1674,0,30800,71629,891490000,20260401,R
380000,2006,1763,0,28700,76688,891490000,20260401,R
575000,1994,1978,0,46550,62806,891170000,20260401,R
400000,2008,1640,0,30800,75672,891440000,20260401,R
353000,1988,1350,0,30450,34025,891284039,20260401,R
375000,1994,1558,0,26250,46737,891070000,20260401,R
315000,1997,1096,0,23450,40178,891060000,20260401,R
384000,1993,1423,0,33600,44833,891280000,20260401,R
375000,1994,1567,0,33250,49995,891440000,20260401,F
355000,2004,1554,0,25900,62763,891060000,20260401,R
485000,2015,2136,0,33250,107010,891660000,20260401,R
250001,2003,2083,0,30100,76315,891440000,20260401,R
385000,1997,1343,0,27300,46107,891310000,20260401,R
529945,1989,1929,0,46550,53115,891170000,20260401,U
405000,2000,1484,0,39550,55636,891470000,20260401,D
330000,2004,1385,0,25900,62684,891060000,20260401,R
330000,1996,1096,0,23450,36721,891060000,20260401,R
350000,1985,1221,0,26600,32019,891084409,20260401,R
410000,2006,2083,0,30450,83010,891310000,20260401,R
290000,1996,1096,0,23450,36721,891060000,20260401,R
299888,1985,784,0,23800,21759,891080000,20260401,R
231883,1994,1560,0,33600,47527,891280000,20260401,A
357750,1984,1221,0,26600,30902,891080000,20260401,R
470000,2006,1316,0,51800,71776,891380000,20260401,R
232000,1998,1096,0,23450,42099,210300000,20260401,R
562000,2005,1947,0,60200,87954,928210000,20260401,R
340000,1983,1151,0,22750,24769,891100000,20260401,R
360000,1983,1092,0,26600,25017,891080000,20260401,B
415000,2005,2066,0,32200,91026,891310000,20260401,D
330000,1993,1069,0,28700,38357,891080000,20260401,R
321000,1997,1244,0,23450,43572,891060000,20260401,R
400000,2007,2083,0,33600,92492,891300000,20260401,R
400000,2001,1042,0,51100,48312,945060000,20260401,R
420000,2011,1503,0,34650,83875,805030000,20260401,R
340000,2001,1548,0,25900,58244,891490000,20260401,R
429999,1995,1567,0,33250,51438,891450000,20260401,R
300000,2006,1305,0,29418,66963,852810000,20260401,R
572000,1995,2147,0,40600,64965,891170000,20260401,R
400000,2004,1868,0,25900,69223,891060000,20260401,R
330000,1983,1125,0,24500,25244,891080000,20260401,R
316000,1997,1524,0,35700,51963,891290000,20260401,R
365000,1989,1354,0,23450,36675,891420000,20260401,R
400000,1997,1238,0,32200,46416,891290000,20260401,R
408000,1997,1306,0,31850,46273,951290000,20260401,R
435000,1997,1743,0,32200,54858,891297821,20260401,R
430000,1999,2127,0,30100,71326,891430000,20260401,R
535000,2002,1983,0,54600,89449,891340000,20260401,R
355000,1997,962,0,33250,36203,891290000,20260401,R
420000,2003,1855,0,30100,72925,891310000,20260401,R
469000,1989,1567,0,39060,46115,891280000,20260401,R
540000,2004,1983,0,54600,89175,891350000,20260401,R
335000,1993,1069,0,28700,38357,891080000,20260401,R
182000,1996,1527,0,36750,50116,891170000,20260401,R
450000,2007,2472,0,37100,101190,890840000,20260401,R
420000,1996,1162,0,35000,45270,891280000,20260401,R
375000,1998,1227,0,25200,51184,891040000,20260401,R
316000,1996,1422,0,33250,46918,891300000,20260401,R
430000,2000,1784,0,28263,65937,891430000,20260401,R
330000,1988,1135,0,31150,34077,891450000,20260401,R
410000,1995,1122,0,39550,42198,930120000,20260401,R
355000,1994,1232,0,32200,40764,891070000,20260401,R
510000,2011,2453,0,38850,115784,891660000,20260401,R
444000,2006,2324,0,37100,90061,890840000,20260401,R
455000,1994,2194,0,33600,62683,891280000,20260401,R
375000,1999,1183,0,51100,52365,890520000,20260401,R
405000,1993,1481,0,33600,45234,891280000,20260401,R
448000,1998,1967,0,45150,65276,303390000,20260401,R
380000,1996,1208,0,37800,46557,891290000,20260401,R
415000,1990,1794,0,31500,50971,891300000,20260401,R
410000,1996,1902,0,37800,60846,891290000,20260401,R
250000,1997,1252,0,30100,49481,891470000,20260401,R
505000,1992,2080,0,43400,59028,891340000,20260401,R
415000,2000,1329,0,52500,55621,891440000,20260401,R
435000,1995,1610,0,33600,51313,891280000,20260401,R
455000,1998,2280,0,33250,74481,303390000,20260401,R
405000,1999,1703,0,28700,60691,891318248,20260401,U
410000,1997,1348,0,35700,50835,891290000,20260401,R
395000,1995,1296,0,33250,43166,891290000,20260401,R
410000,1999,1492,0,35700,58120,891290000,20260401,R
370000,1994,1032,0,33950,35963,891290000,20260401,R
450000,2000,1698,0,52850,66845,891130000,20260401,R
285000,1995,1300,0,39200,46050,890520000,20260401,R
415000,1998,2041,0,45850,68557,891350000,20260401,R
400000,1998,1360,0,36750,54777,891290000,20260401,R
345000,2000,1353,0,28700,52704,891310000,20260401,R
309000,1998,1674,0,30450,57776,891350000,20260401,R
262000,1982,862,0,23100,18072,891420000,20260401,R
485000,1998,1909,0,35700,64750,891290000,20260401,R
435000,1988,1558,0,27300,39390,891080000,20260401,R
395000,2000,1630,0,35000,61562,891150000,20260401,R
440000,1988,1746,0,41300,49264,891170000,20260401,R
483000,2013,2288,0,39900,111942,891490000,20260401,R
320000,1989,1033,0,28350,32877,891080800,20260401,R
435000,1994,1911,0,33600,57082,891280000,20260401,R
415000,1995,1567,0,33250,51438,891450000,20260401,R
425000,1997,1321,0,46550,55582,891340000,20260401,R
460000,1996,1809,0,30800,58818,891310000,20260401,F
345000,1997,1160,0,29750,48855,890320000,20260401,R
435000,2001,1946,0,33950,71697,881010000,20260401,R
376000,1999,1382,0,29750,55739,891430000,20260401,R
